# 参考库(同源 HSDZ_MES)生产管理相关表结构

==== TABLE plang ====
name | typ | is_nullable | dflt | is_identity | cmt
bzgs | float | 1 | ((0)) | 0 | 计件工时
qtgs | float | 1 | ((0)) | 0 | 其他工时
scxl | float | 1 | ((0)) | 0 | 生产效率
od_no | nvarchar(28) | 1 |  | 0 | 订单号
od_xc | float | 1 | ((0)) | 0 | 订单项次
pl_no | nvarchar(28) | 1 |  | 0 | 工单号码
rk_no | nvarchar(60) | 1 |  | 0 | 入库单号
ll_no | nvarchar(60) | 1 |  | 0 | 领料单号
xz_name | nvarchar(28) | 1 |  | 0 | 线长姓名
ja | nvarchar(2) | 1 |  | 0 | 结案
bz | nvarchar(200) | 1 |  | 0 | 备注
asp_user1 | nvarchar(40) | 1 | ('') | 0 | asp_user1
asp_time1 | datetime | 1 | (getdate()) | 0 | asp_time1
asp_user2 | nvarchar(40) | 1 | ('') | 0 | asp_user2
asp_time2 | datetime | 1 |  | 0 | asp_time2
asp_user3 | nvarchar(40) | 1 | ('') | 0 | 
asp_time3 | datetime | 1 |  | 0 | 
asp_cancel | varchar(1) | 1 | ('N') | 0 | asp_cancel
asp_user4 | nvarchar(40) | 1 | ('') | 0 | 
asp_time4 | datetime | 1 |  | 0 | 
asp_print | int | 1 | ((0)) | 0 | 
-- 35 rows

==== TABLE scrb_bs ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 |  | 0 | 公司
id | int | 0 |  | 1 | 
sc_no | nvarchar(28) | 0 |  | 0 | 单号
xc | int | 0 |  | 0 | 项次
gh | nvarchar(16) | 1 |  | 0 | 工号
xm | nvarchar(40) | 1 |  | 0 | 姓名
jsgs | float | 1 | ((0)) | 0 | 计时工时
jjgs | float | 1 | ((0)) | 0 | 计件工时
kk | float | 1 | ((0)) | 0 | 扣款
zfjl | float | 1 | ((0)) | 0 | 支付记录
gwbt | float | 1 | ((0)) | 0 | 
gz | float | 1 | ((0)) | 0 | 工资
jjgz | float | 1 | ((0)) | 0 | 计件工资
jsgz | float | 1 | ((0)) | 0 | 计时工资
bz | nvarchar(100) | 1 |  | 0 | 备注
jsbz | nvarchar(100) | 1 |  | 0 | 计时标准
asp_user1 | nvarchar(40) | 1 | ('') | 0 | asp_user1
asp_time1 | datetime | 1 | (getdate()) | 0 | asp_time1
asp_user2 | nvarchar(40) | 1 | ('') | 0 | asp_user2
asp_time2 | datetime | 1 |  | 0 | asp_time2
asp_user3 | nvarchar(40) | 1 | ('') | 0 | 
asp_time3 | datetime | 1 |  | 0 | 
asp_cancel | varchar(1) | 1 | ('N') | 0 | asp_cancel
asp_user4 | nvarchar(40) | 1 | ('') | 0 | 
asp_time4 | datetime | 1 |  | 0 | 
asp_print | int | 1 | ((0)) | 0 | 
-- 26 rows

==== TABLE wbgd ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 | ((0)) | 0 | 公司
id | int | 0 |  | 1 | 
dh_no | nvarchar(28) | 0 |  | 0 | 外包工单号
xc | int | 1 | ((0)) | 0 | 项次
wzdm | nvarchar(460) | 0 |  | 0 | 物料编码
lot_no | nvarchar(60) | 1 |  | 0 | 批号
color | nvarchar(60) | 1 |  | 0 | 颜色
siz | nvarchar(60) | 1 |  | 0 | 尺码
sl | float | 1 | ((0)) | 0 | 数量
ddw | nvarchar(16) | 1 |  | 0 | 多单位
ddwsl | float | 1 | ((0)) | 0 | 数量(米，公斤)
in_date | datetime | 1 |  | 0 | 工单日期
ywman | nvarchar(40) | 1 |  | 0 | 业务员
in_danj | float | 1 | ((0)) | 0 | 单价
i_zk | float | 1 | ((0)) | 0 | 折扣
i_zke | float | 1 | ((0)) | 0 | 金额
rk_sl | float | 1 | ((0)) | 0 | 入库数量
tax_dm | nvarchar(16) | 1 |  | 0 | 税别代码
tax_sm | nvarchar(40) | 1 |  | 0 | 税别说明
tax | float | 1 | ((0)) | 0 | 税额
total_m | float | 1 | ((0)) | 0 | 总金额
bz | nvarchar(200) | 1 |  | 0 | 备注
od_no | nvarchar(28) | 1 |  | 0 | 订单号
od_xc | float | 1 | ((0)) | 0 | 订单表身ID
pl_no | nvarchar(28) | 1 |  | 0 | 工单号
rk_no | nvarchar(60) | 1 |  | 0 | 入库单号
gfdm | nvarchar(16) | 1 |  | 0 | 厂商代码
ll_no | nvarchar(60) | 1 |  | 0 | 领料单号
ja | nvarchar(2) | 1 |  | 0 | 结案
asp_user1 | nvarchar(40) | 1 | ('') | 0 | 创建人
asp_time1 | datetime | 1 | (getdate()) | 0 | 创建时间
asp_user2 | nvarchar(40) | 1 | ('') | 0 | 最后修改人
asp_time2 | datetime | 1 |  | 0 | 最后修改时间
asp_user3 | nvarchar(40) | 1 | ('') | 0 | 审核人
asp_time3 | datetime | 1 |  | 0 | 审核时间
asp_cancel | varchar(1) | 1 | ('N') | 0 | 删除标记
asp_user4 | nvarchar(40) | 1 | ('') | 0 | 删除人
asp_time4 | datetime | 1 |  | 0 | 删除时间
asp_print | int | 1 | ((0)) | 0 | 打印次数
-- 39 rows

==== TABLE gxgs ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 |  | 0 | 公司
id | int | 0 |  | 1 | 
dm | nvarchar(40) | 1 |  | 0 | 代码
mc | nvarchar(40) | 1 |  | 0 | 款号名称
khdm | nvarchar(40) | 1 |  | 0 | 客户代码
xc | int | 1 | ((0)) | 0 | 项次
rq | datetime2 | 1 |  | 0 | 创建时间
gxdm | nvarchar(16) | 1 |  | 0 | 工序代码
gxmc | nvarchar(60) | 1 |  | 0 | 工序名称
gxsm | nvarchar(100) | 1 |  | 0 | 工序说明
hxsj | float | 1 | ((0)) | 0 | 换线时间
bzsj | float | 1 | ((0)) | 0 | 标准时间
zksj | float | 1 | ((0)) | 0 | 最快时间
zmsj | float | 1 | ((0)) | 0 | 最慢时间
pjsj | float | 1 | ((0)) | 0 | 平均时间
jgdj | float | 1 | ((0)) | 0 | 加工单价
jgdj2 | float | 1 | ((0)) | 0 | 加工单价2
sfbx | nvarchar(16) | 1 |  | 0 | 是否并序
mjdm | nvarchar(40) | 1 |  | 0 | 模具代码
gxtj | nvarchar(100) | 1 |  | 0 | 加工条件
scx | nvarchar(10) | 1 |  | 0 | 生产线
sfdf | nvarchar(2) | 1 |  | 0 | 是否打非
jjdm | nvarchar(40) | 1 |  | 0 | 使用检具
ysjt | nvarchar(10) | 1 |  | 0 | 预设机台
zylc | nvarchar(200) | 1 |  | 0 | 作业流程
zysx | nvarchar(100) | 1 |  | 0 | 注意事项
jcfs | nvarchar(100) | 1 |  | 0 | 检查方式
sh | nvarchar(4) | 1 |  | 0 | 审核
tsgn | nvarchar(40) | 1 |  | 0 | 特殊功能
bz | nvarchar(100) | 1 |  | 0 | 备注
bw2 | nvarchar(16) | 1 |  | 0 | 并序部位
gxmc2 | nvarchar(60) | 1 |  | 0 | 工序名称
gxsm2 | nvarchar(100) | 1 |  | 0 | 工序说明
bxdj2 | float | 1 | ((0)) | 0 | 并序加工单价
zd2 | nvarchar(40) | 1 |  | 0 | 完工后转到
bw3 | nvarchar(16) | 1 |  | 0 | 并序部位
gxmc3 | nvarchar(60) | 1 |  | 0 | 工序名称
gxsm3 | nvarchar(100) | 1 |  | 0 | 工序说明
bxdj3 | float | 1 | ((0)) | 0 | 并序加工单价
zd3 | nvarchar(40) | 1 |  | 0 | 完工后转到
bw4 | nvarchar(16) | 1 |  | 0 | 并序部位
gxmc4 | nvarchar(60) | 1 |  | 0 | 工序名称
gxsm4 | nvarchar(100) | 1 |  | 0 | 工序说明
bxdj4 | float | 1 | ((0)) | 0 | 并序加工单价
zd4 | nvarchar(40) | 1 |  | 0 | 完工后转到
bw5 | nvarchar(16) | 1 |  | 0 | 并序部位
gxmc5 | nvarchar(60) | 1 |  | 0 | 工序名称
gxsm5 | nvarchar(100) | 1 |  | 0 | 工序说明
bxdj5 | float | 1 | ((0)) | 0 | 并序加工单价
zd5 | nvarchar(40) | 1 |  | 0 | 完工后转到
bw6 | nvarchar(16) | 1 |  | 0 | 并序部位
gxmc6 | nvarchar(60) | 1 |  | 0 | 工序名称
gxsm6 | nvarchar(100) | 1 |  | 0 | 工序说明
bxdj6 | float | 1 | ((0)) | 0 | 并序加工单价
zd6 | nvarchar(40) | 1 |  | 0 | 完工后转到
bw7 | nvarchar(16) | 1 |  | 0 | 并序部位
gxmc7 | nvarchar(60) | 1 |  | 0 | 工序名称
gxsm7 | nvarchar(100) | 1 |  | 0 | 工序说明
bxdj7 | float | 1 | ((0)) | 0 | 并序加工单价
zd7 | nvarchar(40) | 1 |  | 0 | 完工后转到
sfsm | nvarchar(2) | 1 | (N'Y') | 0 | 是否扫码
asp_user1 | nvarchar(40) | 1 |  | 0 | 创建人
asp_time1 | datetime2 | 1 | (getdate()) | 0 | 创建时间
asp_user2 | nvarchar(40) | 1 |  | 0 | 最后修改人
asp_time2 | datetime2 | 1 |  | 0 | 最后修改时间
asp_user3 | nvarchar(40) | 1 |  | 0 | 审核人
asp_time3 | datetime2 | 1 |  | 0 | 审核时间
